date,tx,tn,rf,sf,sm,pa
1987-05-24,12.992072497997427,6.5285104954323225,0.04152150798577072,0,0,99144.29434767153
1987-05-25,16.264628549339168,8.616246002406104,0.08944187756962849,0,0,99263.65446142908
1987-05-26,17.971525086485276,9.137717770123203,6.076608573271632,0,0,99049.4241023818
1987-05-27,25.811695764719953,13.015535015929352,3.738179897545836,0,0,98891.55350159972
1987-05-28,30.179168120762906,16.221365038034037,1.0978670441835239,0,0,98812.19694276573
1987-05-29,30.404230366641418,17.024955576609514,0.06704585857549003,0,0,98656.63704230358
1987-05-30,30.81930324338824,17.160611395051035,1.4357625321533771,0,0,98425.03732669748
1987-05-31,25.537682130842754,17.355776779684696,3.9703163995761446,0,0,98219.59473871312
1987-06-01,26.630927849019333,15.524493431392361,6.548062582367517,0,0,98216.91077141842
1987-06-02,26.448524713092457,15.452897277286882,1.7303946014140112,0,0,98270.93849982225
1987-06-03,24.748062520276342,17.054959224629055,2.490366115297366,0,0,98148.9975115535
1987-06-04,20.514539625735374,11.097084989252778,0.11663704300070843,0,0,98634.52541770352
1987-06-05,18.801421919116507,6.709349428679313,1.8627088408727812,0,0,98824.09171702809
1987-06-06,19.342872268400114,5.012548885182728,4.969605440506298,0,0,99165.41414859581
1987-06-07,21.718307891097137,10.666761459678762,10.271773880035735,0,0,98507.13473160328
1987-06-08,25.352399613142776,14.996480553929084,2.5865623900210606,0,0,97738.48560255955
1987-06-09,13.779345912438375,9.424920017508226,1.736437978256736,0,0,98306.15357269818
1987-06-10,20.375471011370983,4.861073585409224,0.0940632783472432,0,0,99096.22822609314
1987-06-11,20.187202318681756,5.923995735040984,5.589904030234713,0,0,98814.30501244223
1987-06-12,26.685033816525067,12.133842857461191,6.485282622497572,0,0,97522.37824386776
1987-06-13,23.922076159171095,14.33611803837955,0.9362246693134139,0,0,97814.06327763954
1987-06-14,30.51681477193768,13.49317455800284,0.0007109847244231505,0,0,97687.29470316388
1987-06-15,27.455314623347558,14.967827947123636,0.10351937441926726,0,0,97981.77035193743
1987-06-16,27.572627086212233,11.835655902316041,0.0019196587559425064,0,0,98118.65979381443
1987-06-17,24.51670816111641,9.796338454964234,0.0037682190394426975,0,0,98829.97156061145
1987-06-18,26.786384631338976,9.822644878188106,0.14923569469997733,0,0,98910.6221116246
1987-06-19,29.81372199345008,13.6074297759527,0.13046569638603148,0,0,98399.01173124778
1987-06-20,24.87156059069859,15.15552791835488,0.004834696126077423,0,0,98396.16068254532
1987-06-21,25.744081069344183,12.456416648433507,4.768076796099209,0,0,97993.41272662638
1987-06-22,21.107962973466176,15.95083549545619,10.020334147586968,0,0,97663.84287237824
1987-06-23,28.753004012394324,14.850017766955904,0.005545680850500574,0,0,97990.17419125489
1987-06-24,29.847920365236934,14.645609684105747,0.06256665481692143,0,0,98337.07074297902
1987-06-25,29.598755955484215,15.163810881185142,5.536118056229158,0,0,98005.91539281905
1987-06-26,24.43956629864652,17.558940625385674,3.7474226599067206,0,0,97419.22502666192
1987-06-27,22.77113402902635,12.26434411131272,4.4497334070946035,0,0,97493.67934589407
1987-06-28,21.75421252625293,11.01667262055973,2.671809442079114,0,0,97772.69107714185
1987-06-29,25.768503389789082,11.945076453232316,6.353323838749349,0,0,97998.45360824742
1987-06-30,23.75037330806446,15.599893389585558,0.04543192342977866,0,0,98237.2698186989
1987-07-01,23.248133549180015,11.00590117258234,0.03434056253395935,0,0,98721.06647707074
1987-07-02,21.514432983045854,12.236153566324537,1.6544258918280792,0,0,98408.18343405616
1987-07-03,24.215179482008104,15.62083189164537,12.598080282454129,0,0,97943.18165659439
1987-07-04,23.735762504932932,14.507963080529933,0.026804124253778493,0,0,98023.52648418059
1987-07-05,26.676821880564333,12.753146100713822,0.09420547560466552,0,0,98643.52292925701
1987-07-06,27.15869171340568,15.861891239002173,3.6726626595260408,0,0,98471.6246000711
1987-07-07,27.117667954543542,18.41834342772114,7.409633871550624,0,0,98282.69818698899
1987-07-08,29.76007813929325,18.404479259025827,3.76256666795198,0,0,98220.08531816566
1987-07-09,30.70543904241785,18.578030594040225,0.9334162803273416,0,0,98391.63881976537
1987-07-10,30.504337097883987,20.25936724340369,2.9638819493594393,0,0,98241.87344472094
1987-07-11,32.17923915441291,20.892961310865697,0.04795591993514982,0,0,98218.457163171
1987-07-12,32.434198283911854,21.842516977423415,0.8838606398914194,0,0,98126.72236046926
1987-07-13,29.371845049405497,21.501066445880543,19.282083114101248,0,0,97763.80376821899
1987-07-14,19.174262394313494,14.204052621683445,8.417134704637094,0,0,97594.29790259509
1987-07-15,20.329257012430645,9.962033412145457,0.011731248048332464,0,0,98438.00213295415
1987-07-16,23.18464267987015,10.412797724103063,0,0,0,98880.46569498756
1987-07-17,26.726199818301616,9.757625287595356,0.012371133834155395,0,0,99218.7451119801
1987-07-18,30.767045877092553,16.12015641731509,0.5191254925037083,0,0,98840.60789193033
1987-07-19,26.440063970181342,18.262246721120565,17.992570270179982,0,0,98871.70636331319
1987-07-20,28.485815837465484,18.594952154447718,0.33480270498276943,0,0,98490.68965517242
1987-07-21,30.150764377863858,17.412939935149225,0.004265908346538903,0,0,98784.68538926414
1987-07-22,30.62332031475112,17.93426939079103,0.0009953786141924108,0,0,98941.96231781016
1987-07-23,31.440810512403047,18.253608204570057,0.368112335182194,0,0,98614.51830785639
